      No    Time           Source                   Destination           Protocol Length   Info
    158 52.988453545   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=3/768, ttl=64 (reply in 159)
    159 52.988692328   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=3/768, ttl=63 (request in 158)
    160 53.056440205   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=18/4608, ttl=64 (reply in 161)
    161 53.056563402   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=18/4608, ttl=64 (request in 160)
    162 53.660460281   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=41/10496, ttl=64 (reply in 163)
    163 53.660591092   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=41/10496, ttl=64 (request in 162)
    164 54.012466597   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=4/1024, ttl=64 (reply in 165)
    165 54.012730592   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=4/1024, ttl=63 (request in 164)
    166 54.076445212   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=19/4864, ttl=64 (reply in 167)
    167 54.076568968   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=19/4864, ttl=64 (request in 166)
    168 54.132241311   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
    169 54.684465650   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=42/10752, ttl=64 (reply in 170)
    170 54.684598416   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=42/10752, ttl=64 (request in 169)
    171 55.036465890   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=5/1280, ttl=64 (reply in 172)
    172 55.036707536   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=5/1280, ttl=63 (request in 171)
    173 55.100442899   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=20/5120, ttl=64 (reply in 174)
    174 55.100566236   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=20/5120, ttl=64 (request in 173)
    175 55.683817174   Cisco_d4:1c:04        Cisco_d4:1c:04        LOOP     60     Reply
    176 55.708471438   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=43/11008, ttl=64 (reply in 177)
    177 55.708602807   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=43/11008, ttl=64 (request in 176)
    178 56.060451145   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=6/1536, ttl=64 (reply in 179)
    179 56.060682385   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=6/1536, ttl=63 (request in 178)
    180 56.124442122   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=21/5376, ttl=64 (reply in 181)
    181 56.124565599   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=21/5376, ttl=64 (request in 180)
    182 56.136982929   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
    183 56.732471220   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=44/11264, ttl=64 (reply in 184)
    184 56.732605313   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=44/11264, ttl=64 (request in 183)
    185 57.084443663   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=7/1792, ttl=64 (reply in 186)
    186 57.084704375   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=7/1792, ttl=63 (request in 185)
    187 57.148441554   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=22/5632, ttl=64 (reply in 188)
    188 57.148576624   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=22/5632, ttl=64 (request in 187)
    189 57.180419513   HewlettP_61:2f:d4     HewlettP_5a:7b:ea     ARP      42     Who has 172.16.40.254? Tell 172.16.40.1
    190 57.180529650   HewlettP_5a:7b:ea     HewlettP_61:2f:d4     ARP      60     172.16.40.254 is at 00:21:5a:5a:7b:ea
